cluster_number	contributing_patients_long_interval	num_tcrs_in_clust_long_interval	total_reads_long_interval	contributing_patients_no_nact	num_tcrs_in_clust_no_nact	total_reads_no_nact	is_cancer_assoc
36189	11	21	85	25	68	249	True
6665	2	2	4	4	5	9	False
30979	13	49	165	31	132	392	True
1364	3	3	181	4	4	7	False
46035	3	4	4	13	18	46	False
22792	3	4	4	7	8	10	False
30787	2	2	6	10	10	30	False
6650	2	4	5	1	1	2	True
6636	1	1	1	6	6	11	False
36697	3	3	5	7	12	38	False
33759	11	50	390	33	129	1027	False
29804	3	5	6	4	5	6	False
42238	1	1	2	1	1	1	False
47444	3	3	4	4	4	9	True
30780	4	4	10	12	12	44	False
30763	6	7	143	15	24	102	False
3961	1	1	3	1	1	1	False
38232	1	1	1	2	2	2	False
22908	10	19	33	31	91	1066	True
45630	6	8	18	13	17	40	False
2843	2	2	4	1	1	71	False
29244	4	9	21	23	33	102	False
29791	5	5	13	8	8	13	False
44081	1	2	8	5	6	10	False
39330	2	2	10	8	8	11	False
36693	10	23	133	29	80	220	False
13689	1	1	2	1	1	1	False
30776	6	9	65	21	41	127	False
30744	5	6	9	13	15	23	True
36196	9	19	48	20	47	93	True
7093	2	2	2	5	5	10	False
30786	4	5	7	4	4	4	False
44068	5	8	12	8	10	21	False
28127	3	4	5	14	19	586	False
30821	1	1	1	1	1	1	False
47451	3	4	4	9	10	32	False
1389	1	1	1	4	4	5	False
